"kodjaz","akrcis","kodcis","chodnota","zkrtext","text","admplod","admnepo"
"CS","ECOICOP_U1",6000,"01","Potraviny a nealkoholické nápoje","Potraviny a nealkoholické nápoje","2018-01-01","9999-09-09"
"CS","ECOICOP_U1",6000,"02","Alkoholické nápoje, tabák a narkotika","Alkoholické nápoje, tabák a narkotika","2018-01-01","9999-09-09"
"CS","ECOICOP_U1",6000,"03","Odívání a obuv","Odívání a obuv","2018-01-01","9999-09-09"
"CS","ECOICOP_U1",6000,"04","Bydlení, voda, energie, paliva","Bydlení, voda, energie, paliva","2018-01-01","9999-09-09"
"CS","ECOICOP_U1",6000,"05","Bytové vybavení, zařízení domácnosti; opravy","Bytové vybavení, zařízení domácnosti; opravy","2018-01-01","9999-09-09"
"CS","ECOICOP_U1",6000,"06","Zdraví","Zdraví","2018-01-01","9999-09-09"
"CS","ECOICOP_U1",6000,"07","Doprava","Doprava","2018-01-01","9999-09-09"
"CS","ECOICOP_U1",6000,"08","Komunikace","Komunikace","2018-01-01","9999-09-09"
"CS","ECOICOP_U1",6000,"09","Rekreace a kultura","Rekreace a kultura","2018-01-01","9999-09-09"
"CS","ECOICOP_U1",6000,"10","Vzdělávání","Vzdělávání","2018-01-01","9999-09-09"
"CS","ECOICOP_U1",6000,"11","Stravování a ubytování","Stravování a ubytování","2018-01-01","9999-09-09"
"CS","ECOICOP_U1",6000,"12","Ostatní výrobky a služby","Ostatní výrobky a služby","2018-01-01","9999-09-09"
